,video_name,question,answer
12721,gY-8BUnSgf4,какая левая сторона у человека в оранжевой одежде,аудитория
17596,2PCZkpF1_wU,что стало с человеком на видео после того как он насыпал муку,влить в пигменты
15397,2WeG8QGOfcI,что у человека с волосами на правом запястье,браслет
8239,Ai6RYjJ97Zg,какого пола человек на видео,женский
6095,Vshvpb9eecg,какая прическа у человека в полосатой одежде,длинный
8008,73ZdOEJcsUw,какого пола старик,женский
11600,kC1DyxcRHBg,почему мужчина в розовых перчатках берет мочалку,удобная очистка
9750,P5lLZ_jsA2o,"какого пола человек, который ест яблоко",женский
17440,V2MlQezL1IE,что было до того как человек в очках научил волейболу,объяснить детали
15184,Ci9WKE6wkOQ,какого цвета одежда у блондинки,черный
900,548xC74c6MQ,что делает человек на видео,воздушный змей
13394,hZD-CjWt0Rg,насколько опасно играть в футбол,обычно
691,pF8jt67vTDY,что делает человек на видео,играть в волейбол
3526,bMDyOXygNPM,что было до конца видео,падать
949,dbLtukGqkhI,что делает человек в черном,воздушный змей
8483,FujUrbL1qc0,какая прическа у человека в рубашке,короткие волосы
8476,4_MR2Tpc7SM,какой стиль штанов у старика,брюки
8204,_uPVFvEQocU,какого пола человек на видео,женский
6035,zxOcSuLSrU4,что перед человеком в желтой одежде,лужайка
10167,Ww2_b9f6Kh0,что находится под трусами,бассейн
18829,c8LevTVQ5nk,как сложно тренировать рамочный барабан в видео,трудность
17246,8ao9LZLn0Hs,"что произошло после того, как человек на сцене сыграл",поклон
4970,7AkyOhKkT6g,какого цвета одежда у человека на видео,красный
7190,nARkYpOZWyg,какого пола человек в синей одежде,мужской
5825,wUg9S2xx850,что перед человеком в черной одежде,дерево
781,8kNk_fzmTyI,что делает человек на видео,плавание
13322,SdbxPbXeQJ0,какого цвета подушка,белый
2358,6_XA3oKwwzU,что делает человек в полосках,танец
12024,H1FKtaktOEc,почему человек в синих штанах целится в цель,стрелять в цель
1781,xoXTlNWkC7w,что делает человек в серой одежде,барабан
12263,Rte9HqaQ1tw,"что случилось с человеком в белом после того, как он зажег свечу",мытье посуды
372,vHejQlbAL78,что делает человек в белой одежде,горнолыжный спорт
16746,e4ZTZDDFtYY,"что случилось с мужчиной в синем костюме после того, как он выстрелил",смех
1572,32-Bxdbf3mQ,что делает мальчик в шляпе на видео,водить машину
14696,GhwvPy4_2KE,насколько безопасны качели на видео,безопасность
1489,LrputIUn4oY,что делает спортсмен,играть в игру
8492,IvkpJMxlRKc,какой стиль одежды у человека на видео,короткий рукав
14875,E4PIKUW4v0k,какого цвета свет на стене,желтый
13400,9jFyJhik9VM,насколько опасен серфинг,середина
16782,mnS-nMZne3I,"что произошло перед тем, как дайвер ушел в воду",педальный трамплин
7571,SsAmEJvdpyU,какого пола человек в черной рубашке,мужской
277,F9HKxxoNNSQ,это день или ночь на видео,день
9941,RK8VF2pL72I,какой фасон юбки синего платья человека,волновая точка
1819,eqm20MDaeRQ,что делает человек в фартуке,мойка
16683,5bZ2FdbAKiQ,что стало со спортсменом на видео после того как он встал на бревно,начать работу
7317,LIaNG_UliKk,какого пола человек в сером пальто,мужской
6343,DgdEQgh8TKU,что делает человек в черном,растопка дров
7604,hoisfXCLJDQ,какого пола человек в зеленой одежде,женский
15243,5jaIcPomOuM,какого цвета стул женщины в зеленом,серый
4039,3w5xIOwFUXU,что перед человеком в зеленой одежде,стол
18489,CV9n0jgThLY,"какого цвета одежда человека, держащего ребенка",черный
8660,smk2WJV1Zmo,что это за собака,маленькая собака
1693,8ErMpNsK3_c,что делает человек в черных штанах,играть упражнение
6996,5_UEjPqtnE0,какого пола ребенок на видео,женский
4505,SpwOzrXw9JU,что справа от человека на видео,окно
11416,2bEr09bbqAA,почему мужчина на видео показывает шоу,Легко понять
11901,4U13LEMIdi4,почему кошка это делает,содержать в чистоте
6757,-IkL9Kq9zfQ,какие отношения у трех человек на видео,друг
1013,ybFvomdhW2Y,что делает человек в синей одежде,кататься на велосипеде
2506,1P_BTFhNZFo,какого цвета одежда у танцовщицы,синий
12039,uwxuvGci98g,почему женщины в белых жилетах бросают крикет,упражнения навыки
14737,tRatWgaZ-a0,какого пола человек в синей шляпе и зеленой шляпе,мужской
17984,9WXl-2sINno,что делает женщина с длинными волосами,тени для век
1243,gCxLSh-cgng,что делает человек в черной футболке,играть в теннис
11902,GhwvPy4_2KE,почему ребенок на видео качает качели,пусть качается качается
2945,kgPvfYhmn54,какого цвета пальто у человека в желтых шортах,красный
1366,XzNMQl0EdEo,что делает человек в красной одежде,танцевать хип-хоп
14815,y9xNMLhgTjY,какого пола человек в полосатой одежде,мужской
6477,b5SYTLjp6HI,как называется вид спорта в видео,гиревой спорт
238,EpLRCz5dwb0,какая погода на видео,Солнечный день
8321,1R25VGmqS9o,какого пола судья,женский
6803,4U13LEMIdi4,что справа от кота,кабинет
8444,DDwBAbeGejE,какие штаны носит человек в черной одежде,брюки
11175,XSfG1M-Ik_A,почему человек в черных штанах наклоняется,уклоняться от летающих объектов
11885,VDX1IQnUMgo,почему человек номер 11 в черном участвует в матче по водному поло,есть бонус
1558,jwv7eQpeGW4,что делает черный человек,длинный прыжок
1322,JWb0-VdfZI4,что делает человек в розовой одежде,играть в игру
16576,AUwam1VhQm0,"что произошло после того, как человек в красном соскользнул с горки",подниматься по лестнице
15147,v13d7g_uUXM,какого цвета штаны у человека в черном на видео,черный
18180,doAvtD_jgiY,что делает женщина в желтом,упражнение
10205,W40iaV960sw,что за верблюды верблюды на видео,двойной горб
13749,xWIKFgygROg,что перед 8-м игроком,цель
7134,lp_Rwbp8S1k,какого пола человек в черной одежде,мужской
3089,ygmYkKbS-4U,какого цвета одежда у человека на видео,синий
9503,ckzLOLHjP44,почему спортсмен носит шлем,защитить голову
14030,kpnGg2lOBLM,что делает маленькая девочка в белой одежде,скакалка
3556,81F42Yyw_iY,что было перед прыжком с шестом,подготовить
18214,tJSF2GAp9TU,к какой гимнастике относятся предметы на видео,параллельный брус
12987,aXCAudMzN2o,что скрывается за открытым пространством,река
10225,62h9hnNTKWM,какую одежду носят спортсмены,колготки
16682,--mFXNrRZ5E,"что случилось с игроками первой команды после того, как они попали",падать
5983,q3DzEgYmIV0,что перед человеком на видео,лестница
9928,qbUQVhjQJ48,какой фасон кепки у раздетого человека,полная чаша
16667,qbUQVhjQJ48,"что произошло до того, как человек в куртке сыграл в игру",цель
18501,exhsUZg_xQA,какого цвета платье судьи в костюме,черный
13710,e4YsOfQR3sI,что перед белой женщиной,пианино
135,JW5P5FdOrcw,как сложно мыть пол,простой
3992,NcEWimHnC54,что перед человеком в синей одежде,снежная земля
15707,KyDS9Zg76Jg,что происходит с этим человеком после открытия холодильника,вынуть лук-порей
4057,gQLH5G88ClE,что перед человеком в красной одежде,дерево
4316,hDV6wQKvKCg,что перед человеком в розовой одежде,дом
5272,_zR5wVbz3xU,насколько сложный вид спорта в видео,трудность
13431,gdisMpHS668,как легко украсить елку на видео,легко
12300,cBCi-pOE5NQ,что делают лысые мужики на видео,играть на саксофоне
11210,shZRGB58YBU,почему человек в черном носит ритм вместе,хорошо себя чувствовать
3142,hDpYoAAFwOA,какого цвета волосы у человека на видео,черный
14748,2WeG8QGOfcI,"какого пола человек, который носит волосы",женский
14193,jqEpQ-cRGFk,что у больного в носу,кислородная трубка
14769,vXOT_VXWOqo,какого пола человек в белой майке,мужской
1937,qi5Oie047pQ,что делает человек в черной одежде,лак для ногтей
14270,4YGuIycW_IA,что за человек в синей рубашке,дерево
11281,wOZdXVdiB04,почему человек в зеленой одежде избегает,избежать удара
970,Wh-Q13ZAffE,что делает человек в черном,горнолыжный спорт
2277,V2MlQezL1IE,что делает человек в очках,учить волейбол
16797,jmWtHelsblo,что было после окончания аэробики,расформировывать
13069,7hDCO9fJb90,что надето на лицо тренера,очки
15304,xmGucghu2FI,что случилось с игроком под номером 265 перед броском копья,подбежать
4466,n7ED3zaQqws,что на руке у человека на видео,звенеть
12166,Z-C5yMAUmM4,что стало с человеком в красном плаще после глотка пива,поставить вино
2516,DxtISmKol2I,какого цвета одежда у судьи,зеленый
4911,rgrzN8ELIxI,какого цвета одежда людей которые появились в начале видео,белый
4423,bNwrAuu0qiQ,что слева от спортсмена,рефери
14419,QPxiOzXkUFM,"каковы отношения между людьми, носящими защитную одежду",друг
9271,pxt1-L_-H74,где снято видео,дорога
17493,SCM5-6hQCGY,"что произошло после того, как мальчик сел",тыкать песок рукой
109,dI1RqUHyWYo,насколько сложно заниматься дайвингом,обычно
1128,LkwkGj27pP8,что делает человек в красной одежде,побелить дерево
13443,X1bmeq4u6YE,в чем сложность разогрева хлеба на видео,обычно
6914,__mIAEE03bE,насколько безопасен этот вид спорта на видео,ниже
14180,JhiX65Okpt0,"чем занимаются люди, стоящие сбоку от сцены",сопровождение
