,video_name,question,answer
6203,QaNQrUpmmgo,какая прическа у человека в оранжевой одежде,короткий
727,ub0pmYL8i5s,что делает человек на видео,чистая раковина
2065,b_DY76Y6ekg,что делает человек в клетчатой ​​рубашке,тарзанка
11794,FkSf3pxra3M,почему они метают диск,событие
18004,kLpYpfT5bok,что делает плетеный мужчина,соответствовать
7227,GHmxFOXP1Q0,какого пола человек в синей рубашке,женский
674,p2RMXdo5avw,что делает человек на видео,играть в игру
5439,RZqM8Z0ocjE,что под ногами у человека в белой одежде,суд
18724,MYzG-TsW8w8,как велосипеды размещены в воздухе,воспроизвести
18784,8UJ5PGzu1PE,как сложно добиться успеха в стрельбе из лука на видео,трудность
10337,bQhCEXZwnMM,какая грудь у человека в кепке,марка
15478,vP-wI1egoHA,в какую игру играет человек в шляпе,бампер автомобиля
18014,IrO7Fgr102M,что делает лысый на осле,играть в мяч
9051,LANB732DHbo,почему на древесине баланса есть порошок магния,увеличить трение
12404,80spFFIdnC4,что стоит за человеком в желтой одежде,море
18442,pIUpJihiju0,какого цвета одежда людей в земле,синий
14664,7Ozl-ud1zTo,каков фактор безопасности для серфинга,ниже
2983,41xqneu4_RA,какого цвета мужская одежда,черный
5749,kxwTPAhlhpw,что перед человеком в рубашке,барная стойка
2562,5iIlhXLDsf8,какой цвет волос у человека в черной одежде,серый
12651,09MaNbzc2TA,что надето на руке вратаря,перчатка
5166,mB90PudOrnU,как трудно дать ванну собаке,легкий
8449,NzxZdC-63LE,почему человек в серых штанах не стоит,из-за вращения
10360,701UoJ5pgeo,что это за окно,оконные шторы
7651,0m63LNVHP1U,какого пола человек в красной одежде,женский
14055,DqHWMWY-r1o,что перед человеком в черной спортивной одежде,пограничная сеть
13988,N6HUPyM5m2o,какая левая сторона у человека в фиолетовой одежде,лестница
1361,tkmoslnsmwY,что делает человек в красной одежде,дрейф
11613,blMN_9ZtxsY,почему человек в красных галстуках пожимает руку своим товарищам по команде,радость
8491,ienRkMdn_OM,какой стиль одежды у человека на видео,длинные рукова
15742,_zAfwnDt4VE,"что происходит с человеком на видео после того, как он оделся",отбеливание
11905,NnEUVHhtLZs,почему губная гармошка не может выдуть,это плохо
17104,iMXdwkAGfM4,что случилось с человеком в розовом после бритья,вставать
4845,AoRk69eieek,какого цвета шляпа,красный
4249,liK3LME0gNY,что перед человеком в розовой одежде,стена
17411,iRp-pWnPoYw,"что случилось с человеком в белом перед тем, как он вышел",взять скейтборд
6548,OqLrsVv44MY,что делает человек в сером пальто,щетка машина
6438,AAQp3iEJxJc,насколько безопасен этот вид спорта на видео,Опасность
16176,ivivR6ZdgRM,"Что случилось с мужчиной в шляпе после того, как он сыграл на губной гармошке",улыбка
18219,7pcnWE7jpQY,какого цвета мужские колготки в белой одежде,зеленый
12015,6LOfAoP4Mg8,зачем мужчина в белых рубашках режет обои,слишком долго
4688,19fGZFUE7yE,что стоит за человеком в очках,дверь
15731,RK8VF2pL72I,что происходит с человеком в синем платье после смены иголок,вязать свитер
36,2aHetC-N-P4,насколько сложна деятельность по прополке,проще
12914,9WXl-2sINno,что скрывается за женщиной с длинными волосами,кабинет
5556,qZIJRg7hJ0o,что перед зрителями,бампер автомобиль сайт
10853,LOINRpWGrlw,какой рукой в ​​видео бросаются шары для боулинга,правая рука
67,ng14GLT_hHQ,насколько трудна деятельность по рисованию,обычно
4332,YULJjXegG1w,что у человека в белом на лице,борода
2937,0z7qHOca3D4,какого цвета лошадь на видео,коричневый
2942,EgPk-mmJyS8,какого цвета железо,белый
9963,5sl-E-AwptI,какой стиль брюк у мужчин в желтых рубашках,брюки
7216,zGT6EplIOHY,какого пола человек в синей одежде,мужской
16975,I4mFeQwqjnE,"что случилось с игроком в костюме под номером 69 до того, как мяч перелетел",избегать
13065,OrF46J3HmSw,во что одет ребенок на видео,юбка
2553,XkVicWlqTV4,какого цвета пляж,желтый
12345,d7gY7YJ3Fdc,"что случилось с человеком на видео до того, как он надел туфли",поднять ногу
11755,F2Igw6lvqwk,почему женщина в джинсах снимает туфли,хорошо одевать носки
5714,lc-piYwzqsA,какого пола черный,мужской
8256,5V47VQHzWHc,какого пола человек на видео,мужской
7754,2j-DRUk2yCs,какого пола спортсмен,мужской
10237,fGA7nlbGmHU,что за барабан у человека в жилете,барабан
12543,3W92sMbvoaE,что спереди у человека в зеленом шарфе,каток
16825,DXluU6_7OXQ,"Что случилось с девушкой в ​​фиолетовом до того, как она выпила",помешивать
7329,KqOLTkf5ujs,какого пола человек в шляпе,мужской
5574,RW7LEc-Ykh8,что перед зрителями,стадион
18396,TlDkQ8SNG64,какого цвета одежда мальчика на верблюде,черный
3414,z93quI8Gxx4,что носит человек в черном,Солнцезащитные Очки
7513,jXARa4T2G8o,какого пола человек в белой шляпе,женский
2837,zPu3JBSPa94,какого цвета волосы у человека в синей одежде,черный
14207,mRe2xY_amWw,что за рисунок на экране сцены,земля
10087,hRIXXCe0Hi0,"какова личность женщины, стоящей под сценой в белом",аудитория
4910,b0LY869JBrE,какого цвета лак для ногтей,черный
12042,I4B52tt3mNM,почему женщины в одежде с длинными рукавами полоскают горло,чистый рот
17294,saMBbZcDAjM,"что случилось с человеком, оставшимся за столом после игры",ловить вещи
5706,hRIXXCe0Hi0,что перед человеком в шляпе,стол
11729,xJNqBSJ7rqU,почему игроки бегут,поймать мяч
15547,p2RMXdo5avw,"что происходит после того, как мяч выскользнул",ударить
17931,hJKX5ZulTgI,что делает вентилятор в начале видео,вращать
17878,kC1DyxcRHBg,что делает парень в розовых перчатках,бак для очистки
1156,TdFvHyfq97o,что делает человек в белом,косить траву
13824,6koP53YFNjg,в какую игру играют люди в зеленых капюшонах,тетя салли
7428,CRdgzvZxB8A,почему человек на видео в шлеме,защитить голову
12615,q23IYtwNOkE,что ты носишь на ушах у людей в тёмно-синей одежде,ушные шпильки
323,g5rkuDdjRVI,погода на видео солнечная или пасмурная,Солнечный
6438,gXffXyAkcHM,какого пола человек на видео,женский
5524,MSSb3wPd5hM,каковы отношения людей в черном,друг
8660,smk2WJV1Zmo,что это за собака,маленькая собака
2104,jgHYzuDU2Iw,что делает человек в рубашке,чистый
9161,Wq-eDa62BcI,где место на видео,Спальня
18910,m7wfcL6YSMY,как безопасно кататься на верблюде,безопасность
2195,TSVDMiy_FC4,что делает человек в белом,щетка обувь
10235,G4kjV4ulJzo,что за собака большая собака на видео,золотые волосы
3553,a7oaRcmRZ5k,"что произошло до того, как человек в черном обернулся",Прыгать
110,GRGBMJG1Koc,насколько сложно запустить воздушного змея в видео,легкий
11850,HI_lWd3JhII,почему они хотят стереть воск,гладкий
11830,r8AXq1Q5bn0,"что случилось с человеком в черных штанах до того, как он начал играть на аккордеоне",говорить
1492,aT-0XxCqV5E,что делает спортсмен,Прыгать
10113,0drl-yrfBAA,что перед людьми в костюмах,барабан
4358,Boa880LnJ3w,какого цвета одежда у человека на видео,белый
15189,uqlErIm56Jg,какого цвета зубная паста,белый
9031,zKYqEsVfEnU,когда было снято видео,день
5446,HfN967uah8o,что делает человек в белой шляпе на видео,горнолыжный спорт
7012,2_Tgrk8iJpE,каков пол игрока,мужской
2900,Mx6Gt14tnmY,какого цвета волосы у человека в желтой одежде,желтый
14636,Vi2gzCrS-fE,какова роль бумаги в видео,тестовый нож
1031,aNQRlsp5yv8,что делает человек в синей одежде,песок
8860,f-4PjtdFbP4,какую обувь носит девочка,дождь
4135,lsgB3WU-1r0,что перед человеком в белой одежде,противник
7846,z8lxaUC1Shk,какого пола человек в красной одежде,мужской
13457,APuN4vwgKJ4,как легко сделать куки в видео,простой
1033,O2vrVwjqktg,что делает человек в синей одежде,играть в настольный теннис
17386,eS1USHkyb2U,что случилось с человеком в полосатой рубашке перед чисткой расчески,гребень
14659,a6lCnOqNaMY,каков запас прочности при метании копья,вторичный
3471,BuaWU70q7cE,"что произошло после того, как люди в видео закончили собирать вещи",отображать результаты
11410,htfrXrKUIzg,почему человек на видео бреет своих собак,чистый
16394,llcbN-s26vs,что случилось с человеком в синем после обоев,вырезать бумагу
1028,tEAEFVJGGG0,что делает человек в синей одежде,обрезка деревьев
